utc	llama_health	smi_used_mib	smi_util	smi_w	smi_sm_mhz
20:24:02	starting	1323	2	47.19	2520
20:24:33	starting	16663	8	18.23	210
20:25:04	starting	16663	9	18.17	210
20:25:35	starting	16663	9	19.89	210
20:26:06	starting	16663	7	18.97	210
20:26:37	healthy	21887	77	368.57	2760
20:27:08	healthy	1385	1	82.41	2790
20:27:40	starting	16663	7	21.84	210
20:28:11	starting	16663	8	21.70	210
20:28:41	starting	16663	4	21.24	210
20:29:12	starting	21857	1	51.97	825
20:29:43	healthy	21891	75	270.42	2790
20:30:14	starting	16663	1	78.38	2805
20:30:45	starting	16663	6	20.42	210
20:31:16	starting	16663	9	20.39	210
20:31:46	starting	16663	7	20.39	210
20:32:17	healthy	21873	7	19.71	210
20:32:50	healthy	21887	79	368.24	2790
20:33:21	starting	16644	4	22.91	210
20:33:52	starting	16644	8	20.59	210
20:34:23	starting	16644	8	20.80	210
20:34:54	starting	16644	5	18.70	210
20:35:24	starting	21832	0	26.80	2520
20:35:55	healthy	21872	0	185.11	2805
20:36:26	starting	16644	3	30.10	390
20:36:59	starting	16644	8	20.74	210
20:37:30	starting	16663	2	60.95	2520
20:38:01	starting	16738	4	20.31	210
20:38:32	starting	16736	2	18.62	210
20:39:03	healthy	21960	1	175.88	2805
20:39:34	healthy	1012	4	41.74	435
20:40:05	starting	16744	8	22.77	210
20:40:35	starting	16736	8	21.59	210
20:41:06	starting	16752	4	52.79	570
20:41:37	starting	16735	6	20.82	210
20:42:08	healthy	21988	62	321.39	2790
20:42:39	healthy	21975	96	141.55	2760
20:43:10	starting	16745	6	21.99	210
20:43:41	starting	16740	7	21.01	210
20:44:11	starting	16732	30	22.67	255
20:44:42	starting	16742	8	20.84	210
20:45:13	healthy	21932	23	29.53	315
20:45:44	healthy	21950	72	368.51	2790
20:46:15	starting	16739	1	74.15	2805
20:46:46	starting	16739	6	21.07	210
20:47:17	starting	16737	5	21.57	210
20:47:47	starting	16725	9	21.36	210
20:48:18	starting	16725	8	18.45	210
20:48:49	healthy	21949	4	64.40	660
20:49:20	healthy	21953	1	204.40	2790
20:49:51	starting	16725	9	21.68	210
20:50:22	starting	16725	16	21.67	210
20:50:53	starting	16731	2	46.15	2520
20:51:24	starting	16728	8	22.03	210
20:51:54	healthy	21935	39	200.87	2805
20:52:25	healthy	21939	56	281.15	2790
20:52:56	starting	16711	8	21.92	210
20:53:27	starting	16711	9	19.50	210
20:53:58	starting	16711	8	20.35	210
20:54:29	starting	16711	8	18.64	210
20:55:00	healthy	21905	6	24.43	210
20:55:31	healthy	21935	84	313.15	2790
20:56:01	starting	16711	1	76.02	2520
20:56:32	starting	16708	9	21.48	210
20:57:03	starting	16708	5	20.15	210
20:57:34	starting	16708	6	20.66	210
20:58:05	starting	16699	5	20.61	210
20:58:36	healthy	21937	79	365.36	2775
20:59:07	starting	989	5	39.29	345
20:59:38	starting	16713	9	22.43	210
21:00:09	starting	16713	6	21.63	210
21:00:40	starting	16713	9	21.23	210
21:01:11	starting	16711	5	19.71	210
21:01:42	healthy	21935	71	266.42	2790
21:02:13	starting	1371	17	52.53	2520
21:02:44	starting	16711	8	21.36	210
21:03:15	starting	16711	8	20.93	210
21:03:47	starting	16711	10	19.36	210
21:04:18	healthy	21904	3	37.45	300
21:04:49	healthy	21937	51	222.36	2790
21:05:20	starting	16709	0	71.42	2805
21:05:51	starting	16709	9	22.15	210
21:06:22	starting	16709	20	28.47	495
21:06:53	starting	16709	9	31.25	525
21:07:24	starting	16709	7	21.16	210
21:07:54	healthy	21933	99	68.63	2520
21:08:25	healthy	21935	85	355.27	2790
21:08:56	starting	16770	3	67.02	2520
21:09:27	starting	16918	8	21.84	210
21:09:58	starting	16916	8	19.98	210
21:10:31	starting	16742	14	30.28	555
21:11:03	healthy	21944	69	167.00	2790
21:11:35	healthy	21963	66	163.49	2790
21:12:05	starting	1018	5	68.88	2520
21:12:36	starting	16707	9	22.62	210
21:13:07	starting	16709	10	19.83	210
21:13:38	starting	16713	28	21.30	210
21:14:09	starting	16862	28	21.69	225
