utc	llama_health	smi_used_mib	smi_util	smi_w	smi_sm_mhz
21:15:28	healthy	1012	7	22.56	270
21:15:59	starting	16856	27	29.26	405
21:16:30	starting	16828	10	19.04	210
21:17:01	starting	16723	11	19.45	210
21:17:33	starting	16722	10	17.71	210
21:18:04	healthy	21946	63	252.18	2790
21:18:35	healthy	21950	75	287.14	2790
21:19:06	starting	16720	9	21.26	210
21:19:37	starting	16724	6	21.54	210
21:20:08	starting	16723	8	21.34	210
21:20:39	starting	16723	12	20.46	210
21:21:10	healthy	21946	1	159.13	2805
21:21:41	healthy	21946	62	238.72	2805
21:22:12	starting	16718	8	21.79	210
21:22:44	starting	16718	10	21.33	210
21:23:15	starting	16718	13	20.92	210
21:23:46	starting	16718	16	19.67	210
21:24:17	healthy	22090	42	361.93	2805
21:24:48	healthy	22094	50	232.52	2790
21:25:19	starting	16719	10	21.70	210
21:25:49	starting	16721	10	21.45	210
21:26:20	starting	16721	10	20.40	210
21:26:53	starting	16721	10	19.07	210
21:27:26	healthy	22243	86	265.47	2775
21:27:57	healthy	22251	52	202.59	2790
21:28:28	starting	16723	27	21.33	210
21:28:59	starting	16722	11	20.94	210
21:29:30	starting	16722	8	17.67	210
21:30:01	starting	16715	10	19.35	210
21:30:34	starting	16715	10	19.42	210
21:31:11	healthy	21943	7	21.16	210
21:31:49	healthy	21950	7	19.36	210
21:32:21	healthy	21943	72	313.26	2805
21:32:52	healthy	980	13	46.26	780
21:33:23	starting	16703	10	21.15	210
21:33:55	starting	16711	7	18.98	210
21:34:26	starting	16709	11	18.93	210
21:34:57	starting	16709	6	19.22	210
21:35:28	healthy	22081	56	312.22	2805
21:35:59	healthy	22085	67	233.56	2790
21:36:30	starting	16698	6	21.21	210
21:37:01	starting	16711	20	20.55	210
21:37:32	starting	16710	6	19.24	210
21:38:05	starting	16741	7	19.81	210
21:38:36	starting	16743	10	19.38	210
21:39:07	starting	16742	10	19.11	210
21:39:38	starting	16754	36	22.06	210
21:40:09	starting	22243	1	62.57	2520
21:40:40	healthy	22276	64	231.07	2790
21:41:11	starting	1414	1	66.12	2520
21:41:41	starting	16754	16	21.87	210
21:42:14	starting	16758	7	20.03	210
21:42:45	starting	16764	8	21.78	210
21:43:18	starting	16763	8	19.78	210
21:43:50	healthy	21986	13	196.85	2805
21:44:21	starting	1038	5	39.44	270
21:44:52	starting	16755	10	21.63	210
21:45:23	starting	16755	14	20.40	210
21:45:54	starting	16755	7	20.11	210
21:46:25	starting	16755	8	18.98	210
21:46:56	healthy	22127	5	39.27	450
21:47:27	unhealthy	1031	2	41.82	435
21:47:58	starting	16755	9	22.30	210
21:48:29	starting	16755	8	20.14	210
21:49:00	starting	16724	4	20.73	210
21:49:30	starting	16724	8	19.36	210
21:50:03	healthy	22246	67	206.12	2790
21:50:34	starting	16724	1	66.58	2520
21:51:07	starting	16724	9	21.30	210
21:51:37	starting	16724	12	20.45	210
21:52:08	starting	16724	6	19.66	210
21:52:40	healthy	21946	68	126.37	2760
21:53:10	healthy	21952	59	269.67	2805
21:53:41	starting	16724	13	20.64	210
21:54:12	starting	16724	8	18.92	210
21:54:43	starting	16724	10	19.19	210
21:55:14	starting	16724	7	18.24	210
21:55:45	healthy	21948	87	383.02	2790
21:56:15	healthy	21952	36	233.57	2790
21:56:46	starting	16724	10	22.95	210
21:57:17	starting	16724	10	20.66	210
21:57:48	starting	16724	9	20.74	210
21:58:19	starting	16724	5	20.03	210
21:58:50	starting	16724	10	19.95	210
